province,date_death_report,deaths,cumulative_deaths
British Columbia,11/11/2020,0,284
British Columbia,12/11/2020,4,288
British Columbia,13/11/2020,2,290
British Columbia,14/11/2020,0,290
British Columbia,15/11/2020,0,290
British Columbia,16/11/2020,9,299
British Columbia,17/11/2020,11,310
British Columbia,18/11/2020,10,320
British Columbia,19/11/2020,1,321
British Columbia,20/11/2020,10,331
British Columbia,21/11/2020,0,331
British Columbia,22/11/2020,0,331
British Columbia,23/11/2020,17,348
British Columbia,24/11/2020,10,358
British Columbia,25/11/2020,13,371
British Columbia,26/11/2020,13,384
British Columbia,27/11/2020,11,395
British Columbia,28/11/2020,0,395
British Columbia,29/11/2020,0,395
British Columbia,30/11/2020,46,441
British Columbia,01/12/2020,16,457
British Columbia,02/12/2020,12,469
British Columbia,03/12/2020,12,481
British Columbia,04/12/2020,11,492
British Columbia,05/12/2020,0,492
British Columbia,06/12/2020,0,492
British Columbia,07/12/2020,35,527
British Columbia,08/12/2020,16,543
British Columbia,09/12/2020,16,559
British Columbia,10/12/2020,28,587
British Columbia,11/12/2020,11,598
British Columbia,12/12/2020,0,598
British Columbia,13/12/2020,0,598
British Columbia,14/12/2020,49,647
British Columbia,15/12/2020,21,668
British Columbia,16/12/2020,24,692
British Columbia,17/12/2020,21,713
British Columbia,18/12/2020,11,724
British Columbia,19/12/2020,0,724
British Columbia,20/12/2020,0,724
British Columbia,21/12/2020,41,765
British Columbia,22/12/2020,12,777
British Columbia,23/12/2020,19,796
British Columbia,24/12/2020,12,808
British Columbia,25/12/2020,0,808
British Columbia,26/12/2020,0,808
British Columbia,27/12/2020,0,808
British Columbia,28/12/2020,0,808
British Columbia,29/12/2020,74,882
British Columbia,30/12/2020,11,893
British Columbia,31/12/2020,8,901
British Columbia,01/01/2021,0,901
British Columbia,02/01/2021,0,901
British Columbia,03/01/2021,0,901
British Columbia,04/01/2021,45,946
British Columbia,05/01/2021,8,954
British Columbia,06/01/2021,8,962
British Columbia,07/01/2021,8,970
British Columbia,08/01/2021,18,988
British Columbia,09/01/2021,0,988
British Columbia,10/01/2021,0,988
British Columbia,11/01/2021,22,1010
British Columbia,12/01/2021,9,1019
British Columbia,13/01/2021,12,1031
British Columbia,14/01/2021,7,1038
British Columbia,15/01/2021,9,1047
British Columbia,16/01/2021,0,1047
British Columbia,17/01/2021,0,1047
British Columbia,18/01/2021,31,1078
British Columbia,19/01/2021,12,1090
British Columbia,20/01/2021,14,1104
British Columbia,21/01/2021,15,1119
British Columbia,22/01/2021,9,1128
British Columbia,23/01/2021,0,1128
British Columbia,24/01/2021,0,1128
British Columbia,25/01/2021,26,1154
British Columbia,26/01/2021,14,1168
British Columbia,27/01/2021,4,1172
British Columbia,28/01/2021,12,1184
British Columbia,29/01/2021,5,1189
British Columbia,30/01/2021,0,1189
British Columbia,31/01/2021,0,1189
British Columbia,01/02/2021,21,1210
British Columbia,02/02/2021,8,1218
British Columbia,03/02/2021,16,1234
British Columbia,04/02/2021,6,1240
British Columbia,05/02/2021,6,1246
British Columbia,06/02/2021,0,1246
British Columbia,07/02/2021,0,1246
British Columbia,08/02/2021,13,1259
British Columbia,09/02/2021,4,1263
British Columbia,10/02/2021,6,1269
British Columbia,11/02/2021,9,1278
British Columbia,12/02/2021,10,1288
British Columbia,13/02/2021,0,1288
British Columbia,14/02/2021,0,1288
British Columbia,15/02/2021,0,1288
British Columbia,16/02/2021,26,1314
British Columbia,17/02/2021,3,1317
British Columbia,18/02/2021,4,1321
British Columbia,19/02/2021,6,1327
British Columbia,20/02/2021,0,1327
British Columbia,21/02/2021,0,1327
British Columbia,22/02/2021,8,1335
British Columbia,23/02/2021,1,1336
British Columbia,24/02/2021,2,1338
British Columbia,25/02/2021,10,1348
British Columbia,26/02/2021,7,1355
British Columbia,27/02/2021,0,1355
British Columbia,28/02/2021,0,1355
British Columbia,01/03/2021,8,1363
British Columbia,02/03/2021,2,1365
British Columbia,03/03/2021,7,1372
British Columbia,04/03/2021,4,1376
British Columbia,05/03/2021,4,1380
British Columbia,06/03/2021,0,1380
British Columbia,07/03/2021,0,1380
British Columbia,08/03/2021,11,1391
British Columbia,09/03/2021,2,1393
British Columbia,10/03/2021,1,1394
British Columbia,11/03/2021,3,1397
British Columbia,12/03/2021,0,1397
British Columbia,13/03/2021,0,1397
British Columbia,14/03/2021,0,1397
British Columbia,15/03/2021,10,1407
British Columbia,16/03/2021,0,1407
British Columbia,17/03/2021,4,1411
British Columbia,18/03/2021,8,1419
British Columbia,19/03/2021,2,1421
British Columbia,20/03/2021,0,1421
British Columbia,21/03/2021,0,1421
British Columbia,22/03/2021,16,1437
British Columbia,23/03/2021,1,1438
British Columbia,24/03/2021,3,1441
British Columbia,25/03/2021,5,1446
British Columbia,26/03/2021,3,1449
British Columbia,27/03/2021,0,1449
British Columbia,28/03/2021,0,1449
British Columbia,29/03/2021,6,1455
British Columbia,30/03/2021,0,1455
British Columbia,31/03/2021,3,1458
British Columbia,01/04/2021,5,1463
British Columbia,02/04/2021,0,1463
British Columbia,03/04/2021,0,1463
British Columbia,04/04/2021,0,1463
British Columbia,05/04/2021,23,1486
British Columbia,06/04/2021,3,1489
British Columbia,07/04/2021,2,1491
British Columbia,08/04/2021,2,1493
British Columbia,09/04/2021,2,1495
British Columbia,10/04/2021,0,1495
British Columbia,11/04/2021,0,1495
British Columbia,12/04/2021,18,1513
British Columbia,13/04/2021,2,1515
British Columbia,14/04/2021,6,1521
British Columbia,15/04/2021,3,1524
British Columbia,16/04/2021,6,1530
British Columbia,17/04/2021,0,1530
British Columbia,18/04/2021,0,1530
British Columbia,19/04/2021,8,1538
British Columbia,20/04/2021,1,1539
